X,Y,Unique Squirrel ID,Shift,Date,Age
-73.96,40.79,37F-PM-1014-03,PM,2018-10-14,
-73.96,40.79,37E-PM-1006-03,PM,2018-10-06,Adult
-73.98,40.77,2E-AM-1010-03,AM,2018-10-10,Adult
-73.98,40.77,5D-PM-1018-05,PM,2018-10-18,Juvenile
-73.96,40.80,39B-AM-1018-01,AM,2018-10-18,
-73.96,40.79,33H-AM-1019-02,AM,2018-10-19,Juvenile
-73.97,40.77,6G-PM-1020-02,PM,2018-10-20,Adult
-73.96,40.79,35C-PM-1013-03,PM,2018-10-13,
-73.98,40.77,7B-AM-1008-09,AM,2018-10-08,Adult
-73.96,40.79,32E-PM-1017-14,PM,2018-10-17,Adult
-73.97,40.78,13E-AM-1017-05,AM,2018-10-17,Adult
-73.97,40.77,11H-AM-1010-03,AM,2018-10-10,Adult
-73.95,40.79,36H-AM-1010-02,AM,2018-10-10,Adult
-73.96,40.79,33F-AM-1008-02,AM,2018-10-08,Adult
-73.97,40.78,21C-PM-1006-01,PM,2018-10-06,Adult
-73.97,40.77,11D-AM-1010-03,AM,2018-10-10,Adult
-73.97,40.78,20B-PM-1013-05,PM,2018-10-13,Adult
-73.95,40.79,36I-PM-1007-01,PM,2018-10-07,Adult
-73.98,40.77,5C-PM-1010-09,PM,2018-10-10,Adult
-73.97,40.77,7H-AM-1006-05,AM,2018-10-06,Adult
-73.97,40.78,16C-PM-1018-03,PM,2018-10-18,Adult
-73.97,40.78,14E-AM-1008-23,AM,2018-10-08,Adult
-73.96,40.79,32A-PM-1013-03,PM,2018-10-13,Juvenile
-73.96,40.79,33F-AM-1008-01,AM,2018-10-08,Adult
-73.97,40.78,17F-AM-1007-07,AM,2018-10-07,Adult
-73.96,40.78,16I-AM-1008-01,AM,2018-10-08,Adult
-73.97,40.77,12I-AM-1013-01,AM,2018-10-13,Adult
-73.96,40.79,32F-PM-1008-07,PM,2018-10-08,Adult
-73.97,40.79,25A-AM-1013-04,AM,2018-10-13,
-73.97,40.78,15E-AM-1013-01,AM,2018-10-13,Adult
-73.95,40.80,39G-PM-1013-06,PM,2018-10-13,Adult
-73.96,40.79,29I-PM-1007-01,PM,2018-10-07,
-73.97,40.77,7E-AM-1006-02,AM,2018-10-06,Adult
-73.97,40.78,17C-PM-1013-05,PM,2018-10-13,Adult
-73.98,40.78,10A-PM-1014-01,PM,2018-10-14,Adult
-73.97,40.79,28A-PM-1007-05,PM,2018-10-07,Adult
-73.96,40.78,22F-PM-1014-05,PM,2018-10-14,Adult
-73.97,40.78,12B-AM-1007-01,AM,2018-10-07,Adult
-73.97,40.78,18A-PM-1018-01,PM,2018-10-18,Adult
-73.95,40.79,36H-PM-1008-02,PM,2018-10-08,Adult
-73.96,40.79,29C-AM-1007-06,AM,2018-10-07,Adult
-73.96,40.80,38C-PM-1014-09,PM,2018-10-14,Adult
-73.96,40.79,31H-PM-1008-02,PM,2018-10-08,Juvenile
-73.97,40.77,8H-AM-1017-06,AM,2018-10-17,Adult
-73.96,40.79,34F-AM-1007-01,AM,2018-10-07,Adult
-73.97,40.77,13H-PM-1010-02,PM,2018-10-10,Adult
-73.96,40.78,22F-PM-1014-06,PM,2018-10-14,Adult
-73.96,40.79,32E-AM-1007-13,AM,2018-10-07,Adult
-73.96,40.79,35C-AM-1007-05,AM,2018-10-07,Adult
-73.97,40.78,17E-AM-1017-05,AM,2018-10-17,Adult
-73.98,40.77,2B-PM-1013-01,PM,2018-10-13,Adult
-73.97,40.78,19D-AM-1007-01,AM,2018-10-07,Juvenile
